Daytime/evening attendance,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,0,0,1,1,0,29,7,5,11.9,8,5,11,Dropout
1,0,0,1,1,1,19,0,0,0,0,0,0,Graduate
1,0,0,1,1,0,23,6,6,12.57142857,6,6,12.42857143,Graduate
1,0,1,1,1,0,19,5,5,11.2,5,4,10.75,Dropout
1,0,0,1,1,0,26,6,6,12,6,5,10.8,Enrolled
1,0,0,1,1,0,18,5,0,0,5,0,0,Enrolled
1,0,0,1,1,0,24,7,7,11.975,8,8,13.75,Graduate
1,0,0,1,1,0,19,0,0,0,0,0,0,Dropout
1,0,0,1,1,0,18,6,3,11.66666667,6,1,12,Dropout
1,0,0,1,1,0,18,6,6,12.33333333,6,3,12.33333333,Graduate
1,0,1,1,1,0,18,5,3,10.33333333,5,3,10.85714286,Dropout
1,0,0,1,1,1,21,6,4,10.5,6,1,11,Dropout
1,0,1,1,1,1,19,6,6,13.66666667,6,6,13.33333333,Graduate
1,0,0,1,1,1,22,7,7,14.84285714,8,8,15.05555556,Graduate
0,0,0,1,1,0,33,6,6,12,6,6,11.66666667,Graduate
1,0,0,1,1,0,20,6,5,12.2,6,5,12.2,Dropout
0,0,0,1,1,0,35,1,0,0,5,0,0,Dropout
1,0,1,1,1,0,24,12,6,12.16666667,12,10,13.3,Dropout
1,0,0,1,1,0,18,5,5,12,5,3,11.33333333,Enrolled
0,0,0,1,0,0,33,6,6,11,6,5,11,Graduate
1,0,0,1,0,1,22,8,7,13.08,8,7,13.08,Graduate
1,0,0,1,0,1,25,5,4,10.5,5,5,11.6,Graduate
1,0,0,1,1,0,20,6,6,10.66666667,6,5,11.2,Graduate
1,0,0,1,1,0,23,5,4,14,5,5,13.8,Enrolled
1,0,1,1,1,0,18,5,2,10,5,0,0,Enrolled
1,0,0,1,1,0,24,7,0,0,7,0,0,Dropout
1,0,0,0,0,0,21,6,6,14,6,6,13.5,Graduate
1,0,0,1,0,0,26,6,2,12,6,0,0,Dropout
1,0,0,1,0,0,39,6,3,12.66666667,6,0,0,Dropout
0,0,0,1,0,0,44,8,8,11.875,6,6,12.33333333,Graduate
1,0,0,1,1,0,19,5,5,14,5,3,13.25,Enrolled
1,0,0,1,0,0,18,6,6,13.66666667,6,6,13.33333333,Graduate
1,0,0,1,0,1,18,7,7,13.75,8,8,14.47777778,Graduate
1,0,0,1,0,0,19,5,5,14.2,5,5,13.8,Enrolled
1,0,1,0,0,0,19,7,4,11.96,7,0,0,Dropout
1,0,0,1,0,0,21,10,8,12.875,9,5,13.4,Dropout
1,0,0,1,0,0,20,0,0,0,0,0,0,Graduate
0,0,0,1,0,0,36,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,43,18,18,14.63157895,13,13,14.23076923,Graduate
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,1,1,0,0,20,10,10,13,11,11,12.27272727,Graduate
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,20,6,4,14.2,6,4,13.25,Dropout
1,0,0,1,0,0,20,7,6,13.26666667,7,5,12.3,Dropout
1,0,0,1,0,0,20,7,6,11.66666667,7,3,13,Enrolled
1,0,0,1,0,0,18,6,6,13.85714286,6,6,15,Graduate
1,0,0,1,0,1,18,5,3,13,5,3,11,Enrolled
1,0,0,1,0,0,19,5,5,13.4,5,5,12.8,Graduate
1,0,0,1,0,0,18,6,6,12.66666667,6,6,12.57142857,Graduate
1,0,0,1,0,0,18,7,6,12.51666667,7,6,12.51666667,Dropout
1,0,0,1,0,0,20,7,6,11.61666667,7,7,13,Enrolled
1,0,0,1,0,1,20,6,2,10,6,4,10.75,Enrolled
1,0,0,1,0,0,20,5,3,10.33333333,5,3,10.66666667,Enrolled
1,0,0,1,0,0,18,5,5,13.14285714,5,5,11.4,Graduate
1,0,0,1,0,0,18,5,5,12.6,5,5,14,Graduate
1,0,0,1,0,0,21,6,3,11,6,2,11,Dropout
1,0,0,1,0,0,19,5,5,10.8,5,4,11.25,Graduate
1,0,0,1,0,0,19,0,0,0,0,0,0,Dropout
1,0,0,1,0,1,19,5,5,12.8,5,5,14.2,Graduate
1,0,0,1,0,0,19,6,6,14.16666667,6,6,12.2,Graduate
1,0,0,1,0,0,19,7,5,12.1,7,0,0,Dropout
1,0,0,1,0,0,20,6,6,14.16666667,6,5,13.77777778,Graduate
1,0,0,1,0,1,18,6,5,12.8,6,5,13.4,Enrolled
1,0,0,1,0,0,18,6,6,13,6,6,13.66666667,Graduate
1,0,0,1,0,0,19,7,7,13.46714286,8,8,15.01111111,Graduate
1,0,0,1,0,1,18,7,7,13.2375,8,7,13.74285714,Dropout
1,0,0,1,0,0,18,6,6,12.33333333,6,6,13,Graduate
1,0,0,1,0,0,19,5,5,12.4,5,5,14.6,Graduate
1,0,0,1,0,0,19,7,5,14,7,0,0,Dropout
1,0,0,1,0,0,20,9,9,11.66666667,7,7,11.71428571,Graduate
1,0,1,0,0,1,19,6,5,12,6,4,12.5,Dropout
1,0,0,1,0,0,20,5,4,12.2,5,4,11.5,Graduate
1,0,1,1,0,1,18,6,6,14.83333333,6,6,14.83333333,Graduate
1,0,0,1,0,1,20,7,5,13.188,8,7,12.89285714,Enrolled
1,0,0,1,0,0,18,7,7,17.125,8,8,17.5875,Graduate
1,0,0,1,0,0,19,7,6,12.66666667,7,6,12.66666667,Graduate
1,0,0,1,0,1,19,6,6,12.66666667,6,5,12,Graduate
1,0,1,0,0,0,22,5,0,0,5,0,0,Enrolled
1,0,0,1,0,1,19,6,6,11.33333333,6,6,11.5,Graduate
1,0,0,1,0,1,19,7,7,13.605,8,8,12.33125,Graduate
1,0,0,1,0,1,19,6,5,12,6,5,10.8,Graduate
1,0,0,1,0,0,19,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,20,6,5,11.2,6,3,11.66666667,Dropout
1,0,0,1,0,0,18,5,5,13.375,5,5,14.16666667,Graduate
1,0,0,1,0,1,20,7,6,13.86333333,8,7,14.17857143,Graduate
1,0,0,1,0,0,18,0,0,0,0,0,0,Enrolled
1,0,0,1,0,0,19,5,5,12.4,5,5,13.4,Graduate
1,0,0,1,0,0,18,6,3,12.33333333,6,5,10.83333333,Enrolled
1,0,0,1,0,0,18,6,6,13.33333333,6,5,11.8,Graduate
1,0,0,1,0,0,21,6,3,12.66666667,6,3,10,Dropout
1,0,0,1,0,0,19,6,6,12,6,4,11.5,Dropout
1,0,0,1,0,1,18,5,5,10.6,5,5,11.8,Graduate
1,0,0,1,0,1,18,6,6,12.25,6,6,11.85714286,Graduate
1,0,0,1,0,0,20,6,4,11,6,6,11.83333333,Graduate
0,0,0,1,0,1,24,6,5,11,6,5,12.6,Graduate
1,0,0,1,0,0,19,6,6,13.16666667,6,6,13,Dropout
1,0,0,1,0,1,18,7,7,12.85555556,8,7,12.76111111,Graduate
1,0,0,1,0,0,18,7,7,14.91875,8,8,15.355,Graduate
1,0,0,1,0,0,21,6,4,11.5,6,3,11,Dropout
1,0,0,1,0,0,19,5,5,14.2,5,5,14.2,Graduate
1,0,0,1,0,1,19,6,6,12.5,6,6,13,Graduate
1,0,1,1,0,0,47,1,0,0,6,0,0,Enrolled
1,0,0,1,0,0,19,6,5,11.66666667,6,4,11,Graduate
1,0,0,1,0,0,29,8,7,14.25714286,8,7,14.25714286,Graduate
1,0,0,1,0,0,21,6,3,12,6,2,11.33333333,Dropout
1,0,0,1,0,0,28,5,4,11.25,5,4,10.5,Enrolled
1,0,0,1,0,0,20,7,7,12.45714286,8,8,13.5625,Graduate
1,0,0,1,0,0,19,7,6,11.68333333,7,6,11.68333333,Graduate
0,0,0,1,0,0,26,6,3,11.66666667,6,5,12,Graduate
1,0,1,0,0,0,20,6,4,11.75,6,6,13.16666667,Dropout
1,0,0,1,0,1,18,5,3,11.66666667,5,4,13.5,Enrolled
1,0,0,1,0,0,27,6,5,13.2,6,5,12,Graduate
1,0,0,1,0,0,20,7,4,11.95,7,4,11.95,Dropout
1,0,0,1,0,0,18,6,5,12.4,6,5,10.4,Dropout
1,0,0,1,0,0,33,7,6,14.35,8,6,14.58333333,Dropout
1,0,0,1,0,0,35,21,21,12.61904762,19,19,12.78947368,Graduate
0,0,0,1,0,1,26,6,6,12.66666667,6,6,13.16666667,Enrolled
1,0,1,0,0,0,27,6,5,12,6,0,0,Dropout
1,0,0,0,0,0,19,6,6,12.16666667,6,0,0,Dropout
1,0,0,1,0,0,20,6,0,0,6,0,0,Dropout
1,0,1,0,0,0,20,5,3,10,5,3,10.57142857,Dropout
1,0,1,0,0,0,21,10,8,11.5,6,4,10,Enrolled
1,0,0,1,0,1,18,7,6,13.05,7,6,13.05,Graduate
1,0,0,1,0,0,24,6,2,11,6,0,0,Dropout
1,0,0,1,0,0,20,6,6,11.5,6,6,12,Graduate
1,0,0,1,0,1,21,6,6,12,6,6,12.5,Graduate
0,0,0,1,0,0,23,6,2,10,5,1,10,Enrolled
1,0,0,1,0,0,24,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,21,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,8,7,12.24285714,8,7,12.24285714,Graduate
0,0,0,1,0,0,27,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,18,8,8,12.93375,8,8,12.93375,Graduate
1,0,0,1,0,0,35,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,18,7,7,12.57142857,7,7,14.42857143,Graduate
1,0,0,1,0,0,35,3,3,11.81666667,3,3,11.33333333,Enrolled
1,0,0,1,0,0,19,5,4,13.75,5,4,14.33333333,Graduate
1,0,0,1,0,0,20,6,6,11.16666667,6,6,11.33333333,Graduate
1,0,0,1,0,0,18,8,7,12.32428571,8,7,12.32428571,Graduate
1,0,1,1,0,0,21,6,6,12.16666667,6,6,11.71428571,Graduate
1,0,0,1,0,1,18,6,5,11.14285714,6,4,11.25,Graduate
1,0,0,1,0,0,18,6,4,11,6,4,10.75,Graduate
1,0,0,1,0,0,18,8,7,12.91428571,8,7,12.91428571,Graduate
1,0,0,1,0,1,18,6,6,13.83333333,6,6,14.16666667,Graduate
1,0,0,1,0,0,19,6,6,13.85714286,6,5,13.4,Graduate
1,0,0,1,0,1,36,6,6,13.71428571,6,5,12.8,Dropout
1,0,0,1,0,1,18,8,7,12.64285714,8,7,12.64285714,Graduate
1,0,0,1,0,1,18,7,6,12.91666667,7,6,12.91666667,Graduate
1,0,0,1,0,1,20,6,6,15.625,6,6,15.85714286,Graduate
0,0,0,1,0,1,26,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,21,6,6,11.71428571,6,6,12,Graduate
1,0,0,1,0,0,25,7,6,12.125,8,8,13.3125,Enrolled
1,0,0,1,0,1,19,5,5,11.6,5,5,11.6,Graduate
0,0,0,1,0,0,24,6,1,10,6,0,0,Dropout
0,0,0,1,0,1,27,6,1,10,6,0,0,Dropout
1,0,0,1,0,0,21,5,0,0,5,2,13.5,Dropout
1,0,0,1,0,1,18,5,4,13,5,3,12.33333333,Graduate
1,1,0,1,0,1,19,6,6,13.33333333,6,6,14.5,Graduate
1,0,0,1,0,0,18,6,4,11.25,6,2,12.5,Dropout
1,0,0,1,0,1,19,7,5,13.85,8,7,12.19285714,Graduate
1,0,0,1,0,1,19,7,6,13.74166667,8,7,14.9125,Graduate
0,0,0,1,0,0,33,6,6,15.33333333,5,5,15.8,Graduate
1,0,0,1,0,0,45,5,5,11,5,5,13.8,Graduate
1,0,0,1,0,1,20,6,6,12,6,6,12.85714286,Graduate
1,0,0,1,0,0,28,5,0,0,5,0,0,Dropout
1,0,0,1,0,1,19,8,7,11.57142857,8,7,11.57142857,Graduate
1,0,0,1,0,0,18,6,6,12.85714286,6,3,12.66666667,Graduate
1,0,0,1,0,0,38,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,19,5,5,13,5,5,13.2,Graduate
1,0,0,1,0,1,21,6,5,11,6,5,12,Graduate
1,0,0,1,0,0,21,5,3,12,5,1,15,Dropout
1,0,0,1,0,1,22,6,5,12.6,6,6,13,Graduate
1,0,0,1,0,1,18,6,5,13.4,6,6,13.16666667,Graduate
1,1,0,1,0,1,18,6,6,11.33333333,6,6,11.57142857,Graduate
1,0,0,0,0,0,25,5,4,13.5,5,4,14.25,Dropout
1,0,1,0,0,0,24,6,3,11.75,6,3,10.33333333,Dropout
1,0,0,1,0,0,19,7,6,12.47142857,7,7,11.4625,Enrolled
1,0,0,1,0,0,24,17,11,12.90909091,13,9,13.55555556,Enrolled
1,0,0,1,0,1,20,5,5,11.6,5,5,13.6,Graduate
1,0,0,0,0,0,25,5,0,0,5,0,0,Dropout
1,0,0,1,0,1,20,10,9,12.9,10,10,12.36363636,Graduate
1,0,0,1,0,0,23,8,8,13.22,8,8,13.22,Graduate
1,0,0,1,0,1,19,8,7,13.15142857,8,7,13.15142857,Graduate
1,0,1,0,0,0,29,6,3,12.75,6,3,11.33333333,Dropout
1,0,0,1,0,0,21,6,6,11.33333333,6,4,12.25,Graduate
1,0,0,1,0,1,18,6,6,13.25,6,5,14.14285714,Graduate
1,0,0,1,0,0,19,6,5,12.4,6,5,12.4,Enrolled
1,0,0,1,0,1,18,6,6,15,6,6,12.83333333,Dropout
1,0,0,1,0,0,19,5,5,14.4,5,5,13,Graduate
1,0,0,1,0,0,18,6,1,11,6,0,0,Enrolled
1,0,0,1,0,0,18,5,5,12.4,5,5,10.8,Graduate
1,0,1,0,0,1,37,7,1,16,7,0,0,Dropout
0,0,0,1,0,0,29,5,5,13.57142857,5,5,12.33333333,Graduate
1,0,0,1,0,0,18,6,6,11.83333333,6,6,12.5,Enrolled
1,0,0,1,0,1,19,6,5,11.66666667,6,5,12.66666667,Graduate
1,0,1,0,0,0,22,10,6,11.83333333,7,2,13,Dropout
1,0,0,1,0,1,20,6,6,11.16666667,6,5,10.6,Graduate
0,0,0,1,0,0,34,6,0,0,6,0,0,Dropout
1,0,1,0,0,0,30,12,8,11.75,12,6,12.16666667,Dropout
1,0,0,1,0,0,18,6,6,14,6,6,14,Graduate
1,0,0,1,0,0,18,6,6,12.83333333,6,6,12,Graduate
1,0,0,1,0,0,18,6,4,12.25,6,3,11.66666667,Graduate
1,0,0,1,0,0,18,8,7,14.82857143,8,7,14.82857143,Graduate
1,0,0,1,0,1,19,6,5,11.4,6,5,12.8,Graduate
1,0,0,1,0,1,19,6,6,13,6,6,12.5,Graduate
1,0,0,1,0,1,18,8,7,13.67142857,8,7,13.67142857,Graduate
1,0,0,1,0,1,21,6,6,12.66666667,6,5,12.8,Graduate
1,0,0,0,0,0,20,5,2,10,5,1,13,Dropout
1,0,0,1,0,0,20,5,5,13.5,5,5,12.33333333,Graduate
1,0,0,1,0,0,19,7,7,12.67,8,8,13.55,Graduate
1,0,0,1,0,0,20,6,6,14.5,6,6,15.42857143,Graduate
1,0,0,1,0,0,18,7,7,13.68571429,8,8,15.3875,Graduate
1,0,0,1,0,0,20,6,5,11,6,3,10.66666667,Dropout
1,0,1,0,0,0,29,9,7,11.55555556,7,5,13.2,Dropout
1,0,0,1,0,1,18,7,7,13.79714286,8,8,13.775,Enrolled
1,0,0,1,0,1,20,7,7,14.00375,8,7,13.81285714,Graduate
1,0,0,1,0,1,22,5,4,12,5,4,11.4,Graduate
0,0,0,1,0,1,47,6,5,14.16666667,6,6,14.16666667,Graduate
0,0,0,1,0,0,31,5,5,14,5,5,13.8,Graduate
1,0,0,1,0,1,21,6,5,13.8,6,6,12.83333333,Graduate
0,0,0,1,0,0,21,6,5,12.8,6,6,11.85714286,Graduate
1,0,0,1,0,0,24,6,6,12.16666667,6,6,13.83333333,Graduate
1,0,0,1,0,0,18,6,6,12.5,6,6,12.33333333,Enrolled
0,0,0,1,0,0,32,6,4,12,6,4,11.5,Graduate
0,0,0,1,0,1,19,6,6,10.83333333,6,6,11.5,Graduate
1,0,0,1,0,0,24,8,8,13.385,8,8,13.385,Graduate
1,0,0,1,0,0,19,6,6,15.66666667,6,6,14.5,Graduate
1,0,1,1,0,1,19,6,6,14.33333333,6,6,13.83333333,Graduate
1,0,0,1,0,0,24,6,6,11.42857143,6,5,13,Enrolled
1,0,0,1,0,1,18,6,6,11.66666667,6,6,11.66666667,Graduate
1,0,0,1,0,1,19,6,5,12,6,2,11.33333333,Dropout
1,0,0,1,0,1,19,8,7,14.72571429,8,7,14.72571429,Graduate
1,0,0,1,0,1,18,6,6,14.16666667,6,6,13.66666667,Graduate
1,0,0,1,0,0,18,6,6,11.57142857,6,6,12.33333333,Graduate
1,0,0,1,0,0,20,7,7,12.5,8,8,13.1375,Graduate
1,0,0,1,0,0,18,8,8,12.86,8,8,12.86,Graduate
1,0,0,1,0,0,18,6,6,12.25,6,6,13.71428571,Graduate
1,0,0,1,0,1,21,5,4,12,5,5,12.2,Graduate
1,0,0,1,0,1,18,7,7,15.11666667,8,8,16.16888889,Graduate
1,0,1,0,0,0,18,5,2,12.5,5,4,10.25,Dropout
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,19,6,4,11,6,4,11,Enrolled
1,0,0,1,0,0,18,6,6,11.875,6,4,14.6,Graduate
1,0,0,1,0,0,34,5,1,11,5,0,0,Dropout
1,0,0,1,0,0,19,5,5,15.2,5,5,13.2,Graduate
1,0,1,0,0,0,19,6,5,11.6,6,2,11,Dropout
1,0,1,1,0,0,26,6,6,14.83333333,6,6,15.14285714,Graduate
1,0,0,1,0,0,21,6,3,11.33333333,6,3,11.33333333,Dropout
1,0,0,1,0,1,18,5,5,11.2,5,5,11.8,Graduate
1,0,0,1,0,1,20,6,5,13.4,6,5,13.66666667,Graduate
1,0,0,1,0,0,25,5,2,10.5,5,0,0,Dropout
1,0,0,1,0,0,18,5,5,16.2,5,5,16.4,Graduate
1,0,0,1,0,1,18,7,7,14.54285714,8,8,14.88181818,Graduate
1,0,0,1,0,0,19,7,7,13.69428571,8,8,14.35555556,Graduate
1,0,0,1,0,1,18,6,6,11.28571429,6,6,11.85714286,Graduate
1,0,0,1,0,0,20,7,6,11.75714286,8,6,13.08333333,Enrolled
1,0,1,0,0,0,26,3,0,0,6,0,0,Dropout
1,0,0,1,0,1,19,8,7,13.05857143,8,7,13.05857143,Graduate
1,0,0,1,0,0,19,7,7,14.3,8,8,14.05555556,Graduate
1,0,0,1,0,0,19,10,5,11.8,10,8,12,Graduate
1,0,0,1,0,0,19,5,3,10.33333333,5,3,13,Enrolled
1,0,0,1,0,0,18,6,6,10.57142857,6,3,11.66666667,Graduate
1,0,0,1,0,0,19,7,6,13.33333333,7,6,13.33333333,Graduate
1,0,1,1,0,0,18,6,6,11.85714286,6,5,11,Graduate
1,0,0,1,0,0,18,6,5,12.6,6,5,11.4,Enrolled
1,0,0,1,0,0,18,5,5,14,5,5,11.6,Enrolled
1,0,0,1,0,0,18,7,5,12,7,6,12.66666667,Enrolled
1,0,1,1,0,0,26,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,20,6,6,12,6,6,13,Graduate
0,0,0,1,0,0,19,6,6,12.66666667,6,6,11.66666667,Graduate
1,0,0,1,0,1,18,6,6,12.16666667,6,6,13.66666667,Graduate
1,0,0,1,0,0,19,6,6,13.33333333,6,6,14.66666667,Graduate
1,0,1,1,0,0,40,7,7,15,7,7,14.57142857,Graduate
1,0,0,1,0,1,18,8,8,13.39125,8,8,13.39125,Graduate
1,0,0,1,0,0,19,6,5,12.16666667,6,6,12.42857143,Graduate
1,0,0,1,0,0,18,5,4,11.25,5,4,12.5,Graduate
1,0,0,1,0,0,19,5,4,12,5,3,12,Enrolled
1,0,0,1,0,0,18,0,0,0,0,0,0,Dropout
0,0,0,1,0,0,33,6,6,12.83333333,6,6,12.85714286,Graduate
1,0,0,1,0,0,35,6,6,14,6,6,13.1,Graduate
1,0,0,1,0,0,26,5,4,13,5,2,12,Enrolled
1,0,0,1,0,0,18,6,6,13.5,6,6,12.5,Graduate
1,0,0,1,0,0,36,16,13,10.69230769,13,9,12.30769231,Enrolled
0,0,0,1,0,0,39,5,5,11,5,5,11.66666667,Graduate
1,0,0,1,0,0,44,6,6,13,6,6,13.83333333,Graduate
0,0,0,1,0,0,20,6,5,12,6,4,11.25,Enrolled
1,0,0,1,0,0,24,6,4,12.6,6,4,11.5,Dropout
1,0,0,1,0,1,20,6,6,13.66666667,6,6,13.33333333,Graduate
1,0,0,0,0,0,19,0,0,0,0,0,0,Dropout
1,0,1,1,0,1,18,7,6,14.2,7,6,14.2,Graduate
1,0,1,0,0,0,22,6,5,11,6,0,0,Dropout
1,0,0,1,0,0,18,6,6,15,6,6,16.42857143,Graduate
1,0,0,1,0,0,24,7,6,12.58571429,8,7,13.44285714,Graduate
0,0,0,1,0,0,33,5,0,0,5,0,0,Dropout
1,0,1,1,0,1,30,6,0,0,6,0,0,Enrolled
1,0,0,1,0,0,26,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,18,6,6,11.66666667,6,6,11.83333333,Graduate
1,0,1,1,0,0,19,6,3,12.66666667,6,2,10,Dropout
1,0,0,1,0,0,20,5,3,10.33333333,5,4,11,Enrolled
1,0,0,1,0,1,22,11,8,13.5,9,7,13.71428571,Graduate
1,0,0,1,0,0,19,7,5,13.98,7,5,13.98,Enrolled
1,0,0,1,0,1,21,6,6,16.15384615,6,6,15.75,Graduate
1,0,0,1,0,1,21,7,6,14.03333333,7,6,14.03333333,Graduate
1,0,0,1,0,0,19,5,1,11,5,5,11.2,Enrolled
1,0,0,1,0,1,19,7,7,13.85714286,7,6,13.66666667,Graduate
1,0,0,1,0,0,18,8,7,13.41428571,8,7,13.41428571,Dropout
0,0,0,1,0,0,50,11,11,13.54545455,7,7,13.57142857,Graduate
0,0,0,1,0,1,31,5,4,11.25,5,4,10.83333333,Enrolled
1,0,0,1,0,1,19,6,6,13.83333333,6,6,14.42857143,Graduate
0,0,0,1,0,0,35,5,5,12,5,5,12.85714286,Graduate
1,0,0,1,0,0,31,6,0,0,6,0,0,Dropout
0,0,1,1,0,0,42,11,10,11.9,11,10,12.8,Enrolled
1,0,0,0,0,0,34,5,0,0,5,0,0,Dropout
1,0,0,1,0,1,18,7,7,15.13571429,8,8,15.2875,Graduate
1,0,0,0,0,1,18,7,7,12.28571429,7,6,13.33333333,Enrolled
1,0,0,1,0,0,21,6,5,12.66666667,6,2,13.5,Enrolled
1,0,0,1,0,1,26,7,5,12.74,8,6,10.97857143,Dropout
1,0,0,1,0,0,20,7,6,13.25,8,8,13.75,Enrolled
1,0,0,1,0,0,19,6,3,10.33333333,6,3,10.33333333,Enrolled
1,0,0,1,0,1,19,6,6,13.42857143,6,6,13.16666667,Graduate
1,0,0,1,0,0,20,11,9,12.55555556,9,8,11.11111111,Graduate
